Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
SCP2,Sterol Carrier Protein 2,Protein Coding,P22307,58,GC01P052927,47.43822861,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCP2
MSN,Moesin,Protein Coding,P26038,60,GC0XP065588,47.42738724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSN
IGFBP1,Insulin Like Growth Factor Binding Protein 1,Protein Coding,P08833,56,GC07P049854,47.40686798,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP1
SHBG,Sex Hormone Binding Globulin,Protein Coding,P04278,55,GC17P007613,47.39489365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG
TRAF2,TNF Receptor Associated Factor 2,Protein Coding,Q12933,58,GC09P136881,47.38097382,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF2
NGFR,Nerve Growth Factor Receptor,Protein Coding,P08138,60,GC17P049495,47.35707474,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGFR
ALDH5A1,Aldehyde Dehydrogenase 5 Family Member A1,Protein Coding,P51649,59,GC06P024494,47.34091568,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH5A1
CYP7A1,Cytochrome P450 Family 7 Subfamily A Member 1,Protein Coding,P22680,55,GC08M058490,47.34076691,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP7A1
GAL,Galanin And GMAP Prepropeptide,Protein Coding,P22466,58,GC11P094859,47.33795166,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAL
MED1,Mediator Complex Subunit 1,Protein Coding,Q15648,55,GC17M039404,47.27772522,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED1
AMH,Anti-Mullerian Hormone,Protein Coding,P03971,58,GC19P121901,47.23548508,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMH
SREBF2,Sterol Regulatory Element Binding Transcription Factor 2,Protein Coding,Q12772,56,GC22P041833,47.22665787,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF2
PRKCB,Protein Kinase C Beta,Protein Coding,P05771,62,GC16P096397,47.08573914,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCB
SIRT6,Sirtuin 6,Protein Coding,Q8N6T7,57,GC19M004174,47.08393097,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT6
CLCNKB,Chloride Voltage-Gated Channel Kb,Protein Coding,P51801,55,GC01P051565,47.04014969,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCNKB
SFTPB,Surfactant Protein B,Protein Coding,P07988,56,GC02M085657,47.01764297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPB
NCOA3,Nuclear Receptor Coactivator 3,Protein Coding,Q9Y6Q9,59,GC20P047501,46.96238327,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA3
IRF4,Interferon Regulatory Factor 4,Protein Coding,Q15306,58,GC06P000391,46.89827347,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF4
CDH11,Cadherin 11,Protein Coding,P55287,60,GC16M064943,46.89315796,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH11
CRX,Cone-Rod Homeobox,Protein Coding,O43186,54,GC19P047819,46.84236145,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRX
SNRPN,Small Nuclear Ribonucleoprotein Polypeptide N,Protein Coding,P63162,57,GC15P024823,46.82985687,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPN
SLC3A1,Solute Carrier Family 3 Member 1,Protein Coding,Q07837,60,GC02P044275,46.82141113,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A1
SKP2,S-Phase Kinase Associated Protein 2,Protein Coding,Q13309,58,GC05P036151,46.81448364,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKP2
RELB,"RELB Proto-Oncogene, NF-KB Subunit",Protein Coding,Q01201,59,GC19P123248,46.80313492,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELB
ID3,Inhibitor Of DNA Binding 3,Protein Coding,Q02535,53,GC01M023557,46.79818344,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID3
LCN2,Lipocalin 2,Protein Coding,P80188,58,GC09P128149,46.76541519,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCN2
KL,Klotho,Protein Coding,Q9UEF7,60,GC13P033016,46.71074677,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KL
GPT,Glutamic--Pyruvic Transaminase,Protein Coding,P24298,55,GC08P144502,46.70573425,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT
MYH14,Myosin Heavy Chain 14,Protein Coding,Q7Z406,58,GC19P123471,46.70207214,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH14
CHGA,Chromogranin A,Protein Coding,P10645,56,GC14P093363,46.69306564,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHGA
DUSP6,Dual Specificity Phosphatase 6,Protein Coding,Q16828,61,GC12M089347,46.67938614,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP6
CCK,Cholecystokinin,Protein Coding,P06307,55,GC03M042274,46.67313766,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCK
ACACA,Acetyl-CoA Carboxylase Alpha,Protein Coding,Q13085,62,GC17M037084,46.56391907,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACA
HP,Haptoglobin,Protein Coding,P00738,58,GC16P097888,46.49440384,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP
NUP98,Nucleoporin 98 And 96 Precursor,Protein Coding,P52948,58,GC11M003671,46.47705841,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP98
HES1,Hes Family BHLH Transcription Factor 1,Protein Coding,Q14469,58,GC03P194136,46.4607811,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HES1
HMGA1,High Mobility Group AT-Hook 1,Protein Coding,P17096,59,GC06P144874,46.45732498,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGA1
RORC,RAR Related Orphan Receptor C,Protein Coding,P51449,56,GC01M151806,46.44549179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RORC
GPI,Glucose-6-Phosphate Isomerase,Protein Coding,P06744,60,GC19P034359,46.39529419,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPI
ADCY5,Adenylate Cyclase 5,Protein Coding,O95622,60,GC03M123282,46.38249207,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY5
IL2RB,Interleukin 2 Receptor Subunit Beta,Protein Coding,P14784,63,GC22M079329,46.36494446,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RB
CCR2,C-C Motif Chemokine Receptor 2,Protein Coding,P41597,58,GC03P059719,46.34664536,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR2
CAD,"Carbamoyl-Phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase",Protein Coding,P27708,62,GC02P027217,46.20455933,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAD
CRHR1,Corticotropin Releasing Hormone Receptor 1,Protein Coding,P34998,56,GC17P045784,46.20285416,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRHR1
PRKAA2,Protein Kinase AMP-Activated Catalytic Subunit Alpha 2,Protein Coding,P54646,62,GC01P056645,46.15673447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA2
CCL11,C-C Motif Chemokine Ligand 11,Protein Coding,P51671,59,GC17P034285,46.12523651,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL11
DPP4,Dipeptidyl Peptidase 4,Protein Coding,P27487,62,GC02M161992,46.12332916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4
XRCC5,X-Ray Repair Cross Complementing 5,Protein Coding,P13010,57,GC02P216107,46.00708771,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC5
HSP90AB1,Heat Shock Protein 90 Alpha Family Class B Member 1,Protein Coding,P08238,63,GC06P044246,46.00514984,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AB1
GSR,Glutathione-Disulfide Reductase,Protein Coding,P00390,63,GC08M030678,45.991539,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSR
MCM4,Minichromosome Maintenance Complex Component 4,Protein Coding,P33991,60,GC08P047970,45.96923065,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM4
RNASEH2C,Ribonuclease H2 Subunit C,Protein Coding,Q8TDP1,51,GC11M065714,45.93649673,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEH2C
TGFBI,Transforming Growth Factor Beta Induced,Protein Coding,Q15582,59,GC05P136027,45.93398285,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBI
CARD11,Caspase Recruitment Domain Family Member 11,Protein Coding,Q9BXL7,60,GC07M002906,45.92905426,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD11
IGF2R,Insulin Like Growth Factor 2 Receptor,Protein Coding,P11717,60,GC06P159969,45.91531372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2R
CHRNA4,Cholinergic Receptor Nicotinic Alpha 4 Subunit,Protein Coding,P43681,63,GC20M063343,45.91481018,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA4
CRIPTO,"Cripto, EGF-CFC Family Member",Protein Coding,P13385,53,GC03P060225,45.8059082,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRIPTO
CNTN2,Contactin 2,Protein Coding,Q02246,58,GC01P205043,45.75738525,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTN2
KRT10,Keratin 10,Protein Coding,P13645,56,GC17M040818,45.75291443,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT10
ATP5F1A,ATP Synthase F1 Subunit Alpha,Protein Coding,P25705,59,GC18M046081,45.71298218,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1A
SLC9A3,Solute Carrier Family 9 Member A3,Protein Coding,P48764,60,GC05M000472,45.64524841,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A3
TOP1,DNA Topoisomerase I,Protein Coding,P11387,62,GC20P041028,45.64254761,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOP1
OPHN1,Oligophrenin 1,Protein Coding,O60890,55,GC0XM067949,45.62872696,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPHN1
MATR3,Matrin 3,Protein Coding,P43243,55,GC05P139274,45.61982727,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MATR3
PLCB4,Phospholipase C Beta 4,Protein Coding,Q15147,58,GC20P009067,45.61856842,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCB4
CDON,"Cell Adhesion Associated, Oncogene Regulated",Protein Coding,Q4KMG0,59,GC11M125955,45.58717346,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDON
CAMK2A,Calcium/Calmodulin Dependent Protein Kinase II Alpha,Protein Coding,Q9UQM7,66,GC05M150219,45.56355286,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2A
ADIPOR1,Adiponectin Receptor 1,Protein Coding,Q96A54,57,GC01M202940,45.53618622,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOR1
RPSA,Ribosomal Protein SA,Protein Coding,P08865,59,GC03P039406,45.53091049,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPSA
NRIP1,Nuclear Receptor Interacting Protein 1,Protein Coding,P48552,56,GC21M014961,45.37126541,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRIP1
TRPV1,Transient Receptor Potential Cation Channel Subfamily V Member 1,Protein Coding,Q8NER1,61,GC17M003565,45.3079567,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV1
FBP1,Fructose-Bisphosphatase 1,Protein Coding,P09467,62,GC09M094603,45.27198792,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBP1
MC4R,Melanocortin 4 Receptor,Protein Coding,P32245,59,GC18M060371,45.21375656,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC4R
GNAO1,G Protein Subunit Alpha O1,Protein Coding,P09471,59,GC16P097311,45.21091843,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAO1
GZMB,Granzyme B,Protein Coding,P10144,60,GC14M024630,45.13035202,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMB
GMNN,Geminin DNA Replication Inhibitor,Protein Coding,O75496,58,GC06P024779,45.08752441,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMNN
IRS2,Insulin Receptor Substrate 2,Protein Coding,Q9Y4H2,59,GC13M109752,45.08489227,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS2
COL9A1,Collagen Type IX Alpha 1 Chain,Protein Coding,P20849,54,GC06M070215,45.08376694,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL9A1
FRAS1,Fraser Extracellular Matrix Complex Subunit 1,Protein Coding,Q86XX4,50,GC04P078057,45.07736969,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRAS1
ANG,Angiogenin,Protein Coding,P03950,58,GC14P047774,45.0353508,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANG
CXCL1,C-X-C Motif Chemokine Ligand 1,Protein Coding,P09341,56,GC04P073869,44.96744156,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL1
TWIST2,Twist Family BHLH Transcription Factor 2,Protein Coding,Q8WVJ9,55,GC02P238848,44.93038559,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TWIST2
CYP2A6,Cytochrome P450 Family 2 Subfamily A Member 6,Protein Coding,P11509,58,GC19M040843,44.88729858,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2A6
DISC1,DISC1 Scaffold Protein,Protein Coding,Q9NRI5,56,GC01P231626,44.87651825,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DISC1
PRMT5,Protein Arginine Methyltransferase 5,Protein Coding,O14744,59,GC14M022920,44.85321808,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT5
KRT2,Keratin 2,Protein Coding,P35908,53,GC12M052783,44.84752274,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT2
ABCB7,ATP Binding Cassette Subfamily B Member 7,Protein Coding,O75027,57,GC0XM075053,44.83475494,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB7
CHI3L1,Chitinase 3 Like 1,Protein Coding,P36222,58,GC01M203148,44.77596283,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHI3L1
PEPD,Peptidase D,Protein Coding,P12955,58,GC19M033386,44.75085449,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEPD
ECE1,Endothelin Converting Enzyme 1,Protein Coding,P42892,62,GC01M021217,44.71482849,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECE1
KRT17,Keratin 17,Protein Coding,Q04695,58,GC17M041619,44.682724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT17
SKP1,S-Phase Kinase Associated Protein 1,Protein Coding,P63208,56,GC05M134148,44.65923691,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKP1
GRIK2,Glutamate Ionotropic Receptor Kainate Type Subunit 2,Protein Coding,Q13002,62,GC06P100962,44.6542511,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIK2
VPS35,VPS35 Retromer Complex Component,Protein Coding,Q96QK1,55,GC16M047331,44.6323967,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS35
ATF6,Activating Transcription Factor 6,Protein Coding,P18850,61,GC01P161766,44.62794495,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF6
PIK3C2A,Phosphatidylinositol-4-Phosphate 3-Kinase Catalytic Subunit Type 2 Alpha,Protein Coding,O00443,60,GC11M017980,44.5277977,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C2A
NEK2,NIMA Related Kinase 2,Protein Coding,P51955,63,GC01M211658,44.493927,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK2
LMAN1,"Lectin, Mannose Binding 1",Protein Coding,P49257,58,GC18M059327,44.42907333,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMAN1
EBP,EBP Cholestenol Delta-Isomerase,Protein Coding,Q15125,56,GC0XP048521,44.4208374,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EBP
BMAL2,Basic Helix-Loop-Helix ARNT Like 2,Protein Coding,Q8WYA1,48,GC12P043337,44.40640259,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMAL2
PRKCZ,Protein Kinase C Zeta,Protein Coding,Q05513,61,GC01P050679,44.36964798,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCZ
DBT,Dihydrolipoamide Branched Chain Transacylase E2,Protein Coding,P11182,55,GC01M100186,44.27277374,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBT
SI,Sucrase-Isomaltase,Protein Coding,P14410,58,GC03M164978,44.22673035,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SI
DDB1,Damage Specific DNA Binding Protein 1,Protein Coding,Q16531,57,GC11M128795,44.20246124,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDB1
PPP2R5D,Protein Phosphatase 2 Regulatory Subunit B'Delta,Protein Coding,Q14738,59,GC06P144964,44.18628693,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R5D
XRCC6,X-Ray Repair Cross Complementing 6,Protein Coding,P12956,58,GC22P076175,44.16046143,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC6
PIAS1,Protein Inhibitor Of Activated STAT 1,Protein Coding,O75925,58,GC15P068054,44.00610733,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIAS1
TRAPPC9,Trafficking Protein Particle Complex Subunit 9,Protein Coding,Q96Q05,51,GC08M139728,43.9446373,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC9
NR1I3,Nuclear Receptor Subfamily 1 Group I Member 3,Protein Coding,Q14994,57,GC01M161229,43.9414711,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I3
MADD,MAP Kinase Activating Death Domain,Protein Coding,Q8WXG6,57,GC11P048086,43.93310547,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MADD
CTDP1,CTD Phosphatase Subunit 1,Protein Coding,Q9Y5B0,54,GC18P079679,43.91243362,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTDP1
CHRM3,Cholinergic Receptor Muscarinic 3,Protein Coding,P20309,62,GC01P239386,43.89650345,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM3
NR4A1,Nuclear Receptor Subfamily 4 Group A Member 1,Protein Coding,P22736,60,GC12P052022,43.8547821,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR4A1
CCL4,C-C Motif Chemokine Ligand 4,Protein Coding,P13236,53,GC17P036103,43.83812714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL4
FANCE,FA Complementation Group E,Protein Coding,Q9HB96,54,GC06P144891,43.82331848,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCE
FOXC2,Forkhead Box C2,Protein Coding,Q99958,56,GC16P098528,43.82222366,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXC2
IGFBP2,Insulin Like Growth Factor Binding Protein 2,Protein Coding,P18065,56,GC02P216632,43.82020569,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP2
KIF11,Kinesin Family Member 11,Protein Coding,P52732,62,GC10P092574,43.7716217,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF11
CGA,"Glycoprotein Hormones, Alpha Polypeptide",Protein Coding,P01215,58,GC06M087085,43.76745987,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGA
CUL1,Cullin 1,Protein Coding,Q13616,58,GC07P148697,43.75976944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL1
SYNE2,Spectrin Repeat Containing Nuclear Envelope Protein 2,Protein Coding,Q8WXH0,52,GC14P063761,43.75269318,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNE2
PDPK1,3-Phosphoinositide Dependent Protein Kinase 1,Protein Coding,O15530,62,GC16P002537,43.7285881,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDPK1
DRD1,Dopamine Receptor D1,Protein Coding,P21728,58,GC05M175440,43.71028137,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD1
ACTN4,Actinin Alpha 4,Protein Coding,O43707,60,GC19P038647,43.69677353,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN4
SPEG,Striated Muscle Enriched Protein Kinase,Protein Coding,Q15772,54,GC02P219434,43.59625626,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPEG
EIF2B2,Eukaryotic Translation Initiation Factor 2B Subunit Beta,Protein Coding,P49770,56,GC14P075002,43.58809662,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2B2
GATAD2B,GATA Zinc Finger Domain Containing 2B,Protein Coding,Q8WXI9,55,GC01M163906,43.56390762,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATAD2B
MBD5,Methyl-CpG Binding Domain Protein 5,Protein Coding,Q9P267,51,GC02P148027,43.55305099,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD5
ISG15,ISG15 Ubiquitin Like Modifier,Protein Coding,P05161,59,GC01P001001,43.50740433,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISG15
MIP,Major Intrinsic Protein Of Lens Fiber,Protein Coding,P30301,52,GC12M056449,43.47256851,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIP
GGT1,Gamma-Glutamyltransferase 1,Protein Coding,P19440,62,GC22P024583,43.39211655,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1
OXT,Oxytocin/Neurophysin I Prepropeptide,Protein Coding,P01178,51,GC20P008958,43.38381195,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXT
ITGAV,Integrin Subunit Alpha V,Protein Coding,P06756,60,GC02P186589,43.37795258,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAV
SFTPC,Surfactant Protein C,Protein Coding,P11686,53,GC08P022156,43.32987213,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPC
PTPA,Protein Phosphatase 2 Phosphatase Activator,Protein Coding,Q15257,55,GC09P143892,43.32820129,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPA
MERTK,"MER Proto-Oncogene, Tyrosine Kinase",Protein Coding,Q12866,64,GC02P111898,43.31032562,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MERTK
PSMC3,"Proteasome 26S Subunit, ATPase 3",Protein Coding,P17980,56,GC11M128623,43.28323364,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC3
UBA1,Ubiquitin Like Modifier Activating Enzyme 1,Protein Coding,P22314,61,GC0XP047190,43.26702499,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBA1
CHD2,Chromodomain Helicase DNA Binding Protein 2,Protein Coding,O14647,57,GC15P167327,43.25828934,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD2
HTR2C,5-Hydroxytryptamine Receptor 2C,Protein Coding,P28335,58,GC0XP114584,43.25156403,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2C
MDH2,Malate Dehydrogenase 2,Protein Coding,P40926,60,GC07P076048,43.23752594,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDH2
NR0B2,Nuclear Receptor Subfamily 0 Group B Member 2,Protein Coding,Q15466,54,GC01M031719,43.22488022,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR0B2
ESRRB,Estrogen Related Receptor Beta,Protein Coding,O95718,60,GC14P076310,43.2206192,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRRB
HNRNPH2,Heterogeneous Nuclear Ribonucleoprotein H2,Protein Coding,P55795,52,GC0XP101408,43.16537476,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPH2
TSHB,Thyroid Stimulating Hormone Subunit Beta,Protein Coding,P01222,54,GC01P115029,43.1562767,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHB
GRIA2,Glutamate Ionotropic Receptor AMPA Type Subunit 2,Protein Coding,P42262,64,GC04P157204,43.14457703,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIA2
RECK,Reversion Inducing Cysteine Rich Protein With Kazal Motifs,Protein Coding,O95980,52,GC09P036036,43.11942291,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RECK
GAS1,Growth Arrest Specific 1,Protein Coding,P54826,54,GC09M086944,43.09613037,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS1
COL9A2,Collagen Type IX Alpha 2 Chain,Protein Coding,Q14055,55,GC01M040300,43.058815,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL9A2
BACE1,Beta-Secretase 1,Protein Coding,P56817,60,GC11M117285,43.04719925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1
MEF2A,Myocyte Enhancer Factor 2A,Protein Coding,Q02078,59,GC15P099565,43.04313278,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEF2A
MC2R,Melanocortin 2 Receptor,Protein Coding,Q01718,58,GC18M034987,43.01845932,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC2R
MANBA,Mannosidase Beta,Protein Coding,O00462,55,GC04M102631,42.99547958,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MANBA
YWHAZ,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Zeta,Protein Coding,P63104,60,GC08M100942,42.97611237,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAZ
MAPK9,Mitogen-Activated Protein Kinase 9,Protein Coding,P45984,60,GC05M180318,42.94917679,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK9
CYP7B1,Cytochrome P450 Family 7 Subfamily B Member 1,Protein Coding,O75881,58,GC08M064587,42.9078064,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP7B1
TNRC6B,Trinucleotide Repeat Containing Adaptor 6B,Protein Coding,Q9UPQ9,50,GC22P040044,42.90010834,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNRC6B
MCM7,Minichromosome Maintenance Complex Component 7,Protein Coding,P33993,59,GC07M100092,42.88604736,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM7
ADRB1,Adrenoceptor Beta 1,Protein Coding,P08588,61,GC10P115236,42.87500381,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB1
ZNF423,Zinc Finger Protein 423,Protein Coding,Q2M1K9,52,GC16M049487,42.83166504,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF423
GNS,Glucosamine (N-Acetyl)-6-Sulfatase,Protein Coding,P15586,58,GC12M064713,42.81233978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNS
EFTUD2,Elongation Factor Tu GTP Binding Domain Containing 2,Protein Coding,Q15029,55,GC17M085343,42.79880142,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFTUD2
CIART,Circadian Associated Repressor Of Transcription,Protein Coding,Q8N365,39,GC01P150282,42.77669907,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIART
DHX9,DExH-Box Helicase 9,Protein Coding,Q08211,56,GC01P182839,42.76157761,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX9
MCCC2,Methylcrotonyl-CoA Carboxylase Subunit 2,Protein Coding,Q9HCC0,56,GC05P078796,42.73972702,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCCC2
PEX14,Peroxisomal Biogenesis Factor 14,Protein Coding,O75381,56,GC01P010472,42.72916794,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX14
